date,value,cash,stocks_value
2015-01-02,99910.0,9910.000000000007,90000.0
2015-01-05,98480.9441186919,9910.000000000007,88570.94411869188
2015-01-06,97629.42619567108,9910.000000000007,87719.42619567107
2015-01-07,98556.80561402653,9910.000000000007,88646.80561402651
2015-01-08,100214.81170848093,9910.000000000007,90304.81170848092
2015-01-09,99551.42518501304,9910.000000000007,89641.42518501304
2015-01-12,97876.61411041586,9910.000000000007,87966.61411041586
2015-01-13,97338.93622974842,9910.000000000007,87428.93622974842
2015-01-14,96787.48877978104,9910.000000000007,86877.48877978102
2015-01-15,95413.15419731507,9910.000000000007,85503.15419731506
2015-01-16,97502.88353937474,9910.000000000007,87592.88353937474
2015-01-20,98288.43053695804,9910.000000000007,88378.43053695804
2015-01-21,99729.36223479256,9910.000000000007,89819.36223479254
2015-01-22,101574.45816176996,9910.000000000007,91664.45816176996
2015-01-23,101875.15141886519,9910.000000000007,91965.15141886518
2015-01-26,102579.09883024369,9910.000000000007,92669.09883024367
2015-01-27,101101.04636852941,9910.000000000007,91191.0463685294
2015-01-28,98692.09774714048,9910.000000000007,88782.09774714048
2015-01-29,100423.7012232152,9910.000000000007,90513.7012232152
2015-01-30,102582.63338280658,9910.000000000007,92672.63338280657
2015-02-02,105091.31793497517,9910.000000000007,95181.31793497516
2015-02-03,107097.57485665192,9910.000000000007,97187.57485665192
2015-02-04,105144.51597520692,9910.000000000007,95234.51597520692
2015-02-05,106889.48151675865,9910.000000000007,96979.48151675865
2015-02-06,106079.4226911806,9910.000000000007,96169.4226911806
2015-02-09,105717.49525425263,10486.041216791557,95231.45403746108
2015-02-10,109284.66269450376,10486.041216791557,98798.62147771221
2015-02-11,109364.0578145505,10486.041216791557,98878.01659775895
2015-02-12,110849.09701812573,10486.041216791557,100363.05580133418
2015-02-13,111627.63638901897,10486.041216791557,101141.5951722274
2015-02-17,112537.58652197791,10486.041216791557,102051.54530518636
2015-02-18,112081.47986656695,10486.041216791557,101595.43864977539
2015-02-19,111678.37069742888,10486.041216791557,101192.32948063732
2015-02-20,112234.5405905921,10486.041216791557,101748.49937380056
2015-02-23,111775.5048316046,10486.041216791557,101289.46361481305
2015-02-24,111860.41382240955,10486.041216791557,101374.372605618
2015-02-25,111389.15786885389,10486.041216791557,100903.11665206232
2015-02-26,111387.8747454175,10486.041216791557,100901.83352862594
2015-02-27,111107.19254737833,10486.041216791557,100621.15133058678
2015-03-02,112193.89575393844,10486.041216791557,101707.85453714688
2015-03-03,110322.594323172,10486.041216791557,99836.55310638045
2015-03-04,109865.74237181744,10486.041216791557,99379.70115502589
2015-03-05,109763.12917312852,10486.041216791557,99277.08795633697
